a little	//
excitement	/ik´saitmənt/
exciting	/ik´saitiη/
exclude	/iks´klu:d/
excluding	/iks´klu:diη/
excuse	/iks´kju:z/
executive	/ɪgˈzɛkyətɪv/
exercise	/'eksəsaiz/
exhibit	/ɪgˈzɪbɪt/
exhibition	/ˌɛksəˈbɪʃən/
exist	/ig'zist/
existence	/ig'zistəns/
exit	/´egzit/
expand	/iks'pænd/
expect	/ik'spekt/
expectation	/,ekspek'tei∫n/
expected	/iks´pektid/
expense	/ɪkˈspɛns/
expensive	/iks'pensiv/
experience	/iks'piəriəns/
experienced	/eks´piəriənst/
experiment	/(n)ɪkˈspɛrəmənt/
expert	/,ekspз'ti:z/
explain	/iks'plein/
explanation	/,eksplə'neiʃn/
explode	/iks'ploud/
explore	/iks´plɔ:/
explosion	/iks'plouʤn/
export	/iks´pɔ:t/
expose	/ɪkˈspoʊz/
express	/iks'pres/
expression	/iks'preʃn/
extend	/iks'tend/
extension	/ɪkstent ʃən/
extensive	/iks´tensiv/
extent	/ɪkˈstɛnt/
extra	/'ekstrə/
extraordinary	/iks'trɔ:dnri/
extreme	/iks'tri:m/
extremely	/iks´tri:mli/
eye	/ai/
face	/feis/
facility	/fəˈsɪlɪti/
fact	/fækt/
factor	/'fæktə/
factory	/'fæktəri/
fail	/feil/
failure	/ˈfeɪlyər/
faint	/feɪnt/
faintly	/'feintli/
fair	/feə/
fairly	/'feəli/
faith	/feiθ/
faithful	/'feiθful/
faithfully	/'feiθfuli/
fall	/fɔl/
false	/fo:ls/
fame	/feim/
familiar	/fəˈmiliər/
family	/ˈfæmili/
famous	/'feiməs/
fan	/fæn/
fancy	/ˈfænsi/
far	/fɑ:/
farm	/fa:m/
farmer	/'fɑ:mə(r)/
farming	/'fɑ:miɳ/
fashion	/'fæ∫ən/
fashionable	/'fæʃnəbl/
fast	/fa:st/
fasten	/'fɑ:sn/
fat	/fæt/
father	/'fɑ:ðə/
faucet	/ˈfɔsɪt/
fault	/fɔ:lt/
favour	/'feivз/
favourite	/'feivзrit/
fear	/fɪər/
feather	/'feðə/
feature	/'fi:tʃə/
February (abbr Feb)	/´februəri/
federal	/'fedərəl/
fee	/fi:/
feed	/fid/
feel	/fi:l/
feel sick	//
feeling	/'fi:liɳ/
fellow	/'felou/
female	/´fi:meil/
fence	/fens/
festival	/'festivəl/
fetch	/fetʃ/
fever	/'fi:və/
few	/fju:/
field	/fi:ld/
fight	/fait/
fighting	/´faitiη/
figure	/figә(r)/
file	/fail/
fill	/fil/
film	/film/
final	/'fainl/
finally	/´fainəli/
finance	/fɪˈnæns , ˈfaɪnæns/
financial	/fai'næn∫l/
find	/faind/
fine	/fain/
finely	/´fainli/
finger	/'fiɳgə/
finish	//
finished	/ˈfɪnɪʃt/
fire	/'faiə/
firm	/'fə:m/
firmly	/´fə:mli/
first	/fə:st/
fish	/fɪʃ/
fishing	/´fiʃiη/
fit	/fit/
fix	/fiks/
fixed	//
flag	/'flæg/
flame	/fleim/
flash	/flæ∫/
flat	/flæt/
flavour	/'fleivə/
flesh	/fle∫/
flight	/flait/
float	/floʊt/
flood	/flʌd/
floor	/flɔ:/
flour	/´flauə/
flow	/flow/
flower	/'flauə/
flu	/flu:/
fly	/flaɪ/
flying	/´flaiiη/
focus	/'foukəs/
fold	/foʊld/
folding	/´fouldiη/
follow	/'fɔlou/
following	/´fɔlouiη/
food	/fu:d/
foot	/fut/
football	/ˈfʊtˌbɔl/
for	/fɔ:,fə/
force	/fɔ:s/
forecast	/fɔ:'kɑ:st/
foreign	/'fɔrin/
forest	/'forist/
forever	/fə'revə/
forget	/fə'get/
forgive	/fərˈgɪv/
fork	/fɔrk/
form	/fɔ:m/
formal	/fɔ:ml/
formally	/fo:mзlaiz/
former	/´fɔ:mə/
formerly	/´fɔ:məli/
formula	/'fɔ:mjulə/
fortune	/ˈfɔrtʃən/
forward	/ˈfɔrwərd/
forward, forwards	/ˈfɔrwərd/
found	/faund/
foundation	/faun'dei∫n/
frame	/freim/
free	/fri:/
freedom	/'fri:dəm/
freely	/´fri:li/
freeze	/fri:z/
frequent	/ˈfrikwənt/
frequently	/´fri:kwəntli/
fresh	/freʃ/
freshly	/´freʃli/
Friday (abbr Fri)	/´fraidi/
fridge	/fridЗ/
friend	/frend/
friendly	/´frendli/
friendship	/'frendʃipn/
frighten	/ˈfraɪtn/
frightened	/'fraitnd/
frightening	/´fraiəniη/
from	/frɔm/
front	/frʌnt/
frozen	/frouzn/
fruit	/fru:t/
fry	/frai/
fuel	/ˈfyuəl/
full	/ful/
fully	/´fuli/
fun	/fʌn/
function	/ˈfʌŋkʃən/
fund	/fʌnd/
fundamental	/,fʌndə'mentl/
funeral	/ˈfju:nərəl/
funny	/´fʌni/
fur	/fə:/
furniture	/'fə:nitʃə/
further	/'fə:ðə/
further, furthest	//
future	/'fju:tʃə/
gain	/geɪn/
gallon	/'gælən/
gamble	/'gæmbl/
gambling	/'gæmbliɳ/
game	/geim/
gap	/gæp/
garage	/´gæra:ʒ/
garbage	/ˈgɑrbɪdʒ/
garden	/'gɑ:dn/
gas	/gæs/
gasoline	/gasolin/
gate	/geit/
gather	/'gæðə/
gear	/giə/
general	/'ʤenər(ə)l/
generally	/'dʒenərəli/
generate	/'dʒenəreit/
generation	/ˌdʒɛnəˈreɪʃən/
generous	/´dʒenərəs/
generously	/'dʒenərəsli/
gentle	/dʒentl/
gentleman	/ˈdʒɛntlmən/
gently	/'dʤentli/
genuine	/´dʒenjuin/
genuinely	/´dʒenjuinli/
geography	/dʒi´ɔgrəfi/
get	/get/
giant	/ˈdʒaiənt/
gift	/gift/
girl	/g3:l/
girlfriend	/'gз:lfrend/
give	/giv/
give birth	//
glad	/glæd/
glass	/glɑ:s/
glasses	//
global	/´gloubl/
glove	/glʌv/
glue	/glu:/
go	/gou/
goal	/goƱl/
god	/gɒd/
gold	/goʊld/
good	/gud/
good, well	/gud, wel/
goodbye	/¸gud´bai/
goods	/gudz/
govern	/´gʌvən/
government	/ˈgʌvərnmənt , ˈgʌvərmənt/
governor	/´gʌvənə/
grab	/græb/
grade	/greɪd/
gradual	/´grædjuəl/
gradually	/'grædzuәli/
grain	/grein/
gram	/'græm/
gram, gramme (abbr g, gm)	/'græm/
grammar	/ˈgræmər/
grand	/grænd/
grandchild	/´græn¸tʃaild/
granddaughter	/'græn,do:tз/
grandfather	/´græn¸fa:ðə/
grandmother	/'græn,mʌðə/
grandparent	/´græn¸pɛərənts/
grandson	/´grænsʌn/
grant	/grα:nt/
grass	/grɑ:s/
grateful	/´greitful/
grave	/greiv/
gray	/grei/
great	/greɪt/
greatly	/´greitli/
green	/grin/
grey	/grei/
grey, usually gray	//
groceries	/ˈgroʊsəri, ˈgroʊsri/
grocery	/´grousəri/
ground	/graund/
group	/gru:p/
grow	/grou/
growth	/grouθ/
guarantee	/ˌgærənˈti/
guard	/ga:d/
guess	/ges/
guest	/gest/
guide	/gaɪd/
guilty	/ˈgɪlti/
gun	/gʌn/
guy	/gai/
habit	/´hæbit/
hair	/heə/
hairdresser	/'heədresə/
half	/hɑ:f/
hall	/hɔ:l/
hammer	/'hæmə/
hand	/hænd/
handle	/'hændl/
hang	/hæŋ/
happen	/'hæpən/
happily	/'hæpili/
happiness	/'hæpinis/
happy	/ˈhæpi/
hard	/ha:d/
hardly	/´ha:dli/
harm	/hɑ:m/
harmful	/´ha:mful/
harmless	/´ha:mlis/
hat	/hæt/
hate	/heit/
hatred	/'heitrid/
have	/hæv, həv/
have to	//
he	/hi:/
head	/hed/
headache	/'hedeik/
heal	/hi:l/
health	/hɛlθ/
healthy	/'helθi/
hear	/hiə/
hearing	/ˈhɪərɪŋ/
heart	/hɑ:t/
heat	/hi:t/
heating	/'hi:tiη/
heaven	/ˈhɛvən/
heavily	/´hevili/
heavy	/'hevi/
heel	/hi:l/
height	/hait/
hell	/hel/
hello	/hз'lou/
help	/'help/
helpful	/´helpful/
hence	/hens/
her	/hз:/
here	/hiə/
hero	/'hiərou/
hers	/hə:z/
herself	/hə:´self/
hesitate	/'heziteit/
hi	/hai/
hide	/haid/
high	/hai/
highlight	/ˈhaɪˌlaɪt/
highly	/´haili/
highway	/´haiwei/
hill	/hil/
him	/him/
himself	/him´self/
hip	/hip/
hire	/haiə/
his	/hiz/
historical	/his'tɔrikəl/
history	/´histəri/
hit	/hit/
hobby	/'hɒbi/
hold	/hould/
hole	/'houl/
holiday	/'hɔlədi/
hollow	/'hɔlou/
holy	/ˈhoʊli/
home	/hoʊm/
homework	/´houm¸wə:k/
honest	/'ɔnist/
honestly	/'ɔnistli/
honour	/'onз/
hook	/huk/
hope	/houp/
horizontal	/,hɔri'zɔntl/
horn	/hɔ:n/
horror	/´hɔrə/
horse	/hɔrs/
hospital	/'hɔspitl/
host	/houst/
hot	/hɒt/
hotel	/hou´tel/
hour	/auз/
house	/haus/
household	/´haushould/
housing	/´hauziη/
how	/hau/
however	/hau´evə/
huge	/hjuːdʒ/
human	/'hju:mən/
humorous	/´hju:mərəs/
humour	/´hju:mə/
hungry	/'hΔŋgri/
hunt	/hʌnt/
hunting	/'hʌntiɳ/
hurry	/ˈhɜri , ˈhʌri/
hurt	/hɜrt/
husband	/´hʌzbənd/
i.e.	//
ice	/ais/
ice cream	//
idea	/ai'diз/
ideal	/aɪˈdiəl, aɪˈdil/
ideally	/aɪˈdiəli/
identify	/ai'dentifai/
identity	/aɪˈdɛntɪti/
if	/if/
ignore	/ig'no:(r)/
ill	/il/
illegal	/i´li:gl/
illegally	/i´li:gəli/
illness	/´ilnis/
illustrate	/´ilə¸streit/
image	/´imidʒ/
imaginary	/i´mædʒinəri/
imagination	/i,mædʤi'neiʃn/
imagine	/i'mæʤin/
immediate	/i'mi:djət/
immediately	/i'mi:djətli/
immoral	/i´mɔrəl/
impact	/ˈɪmpækt/
impatient	/im'peiʃən/
impatiently	/im'pei∫зns/
implication	/¸impli´keiʃən/
imply	/im'plai/
import	//
importance	/im'pɔ:təns/
important	/im'pɔ:tənt/
importantly	/im'pɔ:təntli/
impose	/im'pouz/
impossible	/im'pɔsəbl/
impress	/im'pres/
impressed	//
impression	/ɪmˈprɛʃən/
impressive	/im'presiv/
improve	/im'pru:v/
improvement	/im'pru:vmənt/
in	/in/
in addition	//
in case of	//
in control of	//
in exchange for	//
inability	/¸inə´biliti/
inch	/intʃ/
incident	/´insidənt/
include	/in'klu:d/
including	/in´klu:diη/
income	/'inkəm/
increase	/in'kri:s/
increasingly	/in´kri:siηli/
indeed	/ɪnˈdid/
independence	/,indi'pendəns/
independent	/,indi'pendənt/
independently	/,indi'pendзntli/
index	/'indeks/
indicate	/´indikeit/
indication	/,indi'kei∫n/
indirect	/¸indi´rekt/
indirectly	/,indi'rektli/
individual	/indivídʤuəl/
indoor	/´in¸dɔ:/
indoors	/¸in´dɔ:z/
industrial	/in´dʌstriəl/
industry	/'indəstri/
inevitable	/in´evitəbl/
inevitably	/in’evitəbli/
infect	/in'fekt/
infected	//
infection	/in'fekʃn/
infectious	/in´fekʃəs/
influence	/ˈɪnfluəns/
inform	/in'fo:m/
informal	/in´fɔ:məl/
information	/,infə'meinʃn/
ingredient	/in'gri:diәnt/
initial	/i'ni∫зl/
initially	/i´niʃəli/
initiative	/ɪˈnɪʃiətɪv , ɪˈnɪʃətɪv/
injure	/in'dӡә(r)/
injured	/´indʒə:d/
injury	/'indʤəri/
ink	/iηk/
inner	/'inə/
innocent	/'inəsnt/
insect	/'insekt/
insert	/'insə:t/
inside	/'in'said/
insist	/in'sist/
install	/in'stɔ:l/
instance	/'instəns/
instead	/in'sted/
institute	/ˈ´institju:t/
institution	/insti'tju:ʃn/
instruction	/ɪn'strʌkʃn/
instrument	/'instrumənt/
insult	/'insʌlt/
insulting	/in´sʌltiη/
insurance	/in'ʃuərəns/
intelligence	/in'telidʒəns/
intelligent	/in,teli'dЗen∫зl/
intend	/in'tend/
intended	/in´tendid/
intention	/in'tenʃn/
interest	/ˈɪntərest/
interested	//
interesting	/'intristiŋ/
interior	/in'teriə/
internal	/in'tə:nl/
international	/intə'næʃən(ə)l/
internet	/'intə,net/
interpret	/in'tз:prit/
interpretation	/in,tə:pri'teiʃn/
interrupt	/ɪntǝ'rʌpt/
interruption	/,intə'rʌp∫n/
interval	/ˈɪntərvəl/
interview	/'intəvju:/
into	/'intu/
introduce	/'intrədju:s/
introduction	/¸intrə´dʌkʃən/
invent	/in'vent/
invention	/ɪnˈvɛnʃən/
invest	/in'vest/
investigate	/in'vestigeit/
investigation	/in¸vesti´geiʃən/
investment	/in'vestmənt/
invitation	/,invi'teiʃn/
invite	/in'vait/
involve	/ɪnˈvɒlv/
involvement	/in'vɔlvmənt/
iron	/aɪən/
irritate	/´iri¸teit/
irritated	/'iriteitid/
irritating	/´iriteitiη/
island	/´ailənd/
issue	/ɪʃuː; also ɪsjuː/
it	/it/
item	/'aitəm/
its	/its/
itself	/it´self/
jacket	/'dʤækit/
jam	/dʒæm/
January (abbrJan)	/'ʤænjuəri/
jealous	/'ʤeləs/
jeans	/dЗeins/
jelly	/´dʒeli/
jewellery	/'dʤu:əlri/
job	/dʒɔb/
join	/ʤɔin/
joint	/dʒɔɪnt/
jointly	/ˈdʒɔɪntli/
joke	/dʒouk/
journalist	/´dʒə:nəlist/
journey	/'dʤə:ni/
joy	/dʒɔɪ/
judge	/dʒʌdʒ/
judgement	/'dʤʌdʤmənt/
juice	/ʤu:s/
July (abbr Jul)	/dʒu´lai/
jump	/dʒʌmp/
June (abbr Jun)	/dЗu:n/
junior	/´dʒu:niə/
just	/dʤʌst/
justice	/'dʤʌstis/
justified	/'dʒʌstɪfaɪd/
justify	/´dʒʌsti¸fai/
keen	/ki:n/
keep	/ki:p/
key	/ki:/
keyboard	/'ki:bɔ:d/
kick	/kick/
kid	/kid/
kill	/kil/
killing	/´kiliη/
kilogram, kilogramme, kilo (abbr kg)	/´kilou¸græm/
kilometre	/´kilə¸mi:tə/
kilometre, kilometer (abbr k, km)	/´kilə¸mi:tə/
kind	/kaind/
kindly	/´kaindli/
kindness	/'kaindnis/
king	/kiɳ/
kiss	/kis/
kitchen	/´kitʃin/
knee	/ni:/
knife	/naif/
knit	/nit/
knitted	/nitid/
knitting	/´nitiη/
knock	/nɔk/
knot	/nɔt/
know	/nou/
knowledge	/'nɒliʤ/
label	/leibl/
laboratory, lab	/ˈlæbrəˌtɔri/
labour	/'leibз/
lack	/læk/
lacking	/'lækiη/
lady	/ˈleɪdi/
lake	/leik/
lamp	/læmp/
land	/lænd/
landscape	/'lændskeip/
lane	/lein/
language	/ˈlæŋgwɪdʒ/
large	/la:dʒ/
largely	/´la:dʒli/
last	/lɑ:st/
late	/leit/
later	/leɪtə(r)/
latest	/leitist/
latter	/´lætə/
laugh	/lɑ:f/
launch	/lɔ:ntʃ/
law	/lo:/
lawyer	/ˈlɔyər , ˈlɔɪər/
lay	/lei/
layer	/'leiə/
lazy	/'leizi/
lead	/li:d/
leader	/´li:də/
leading	/´li:diη/
leaf	/li:f/
league	/li:g/
lean	/li:n/
learn	/lə:n/
least	/li:st/
leather	/'leðə/
leave	/li:v/
lecture	/'lekt∫ә(r)/
left	/left/
leg	/´leg/
legal	/ˈligəl/
legally	/'li:gзlizm/
lemon	/´lemən/
lend	/lend/
length	/leɳθ/
less	/les/
lesson	/'lesn/
let	/lεt/
letter	/'letə/
level	/'levl/
library	/'laibrəri/
licence	/ˈlaɪsəns/
license	/laisзns/
lid	/lid/
lie	/lai/
life	/laif/
lift	/lift/
light	/lait/
lightly	/´laitli/
like	/laik/
likely	/´laikli/
limit	/'limit/
limited	/ˈlɪmɪtɪd/
line	/lain/
link	/lɪɳk/
lip	/lip/
liquid	/'likwid/
list	/list/
listen	/'lisn/
literature	/ˈlɪtərətʃər/
litre	/´li:tə/
little	/'lit(ә)l/
live	/liv/
lively	/'laivli/
living	/'liviŋ/
load	/loud/
loan	/ləʊn/
local	/'ləʊk(ə)l/
locally	/ˈloʊkəli/
locate	/loʊˈkeɪt/
located	/loʊˈkeɪtid/
location	/louk´eiʃən/
lock	/lɔk/
logic	/'lɔdʤik/
logical	/'lɔdʤikəl/
lonely	/´lounli/
long	/lɔɳ/
look	/luk/
look after	//
loose	/lu:s/
loosely	/´lu:sli/
lord	/lɔrd/
lorry	/´lɔ:ri/
lose	/lu:z/
loss	/lɔs , lɒs/
lost	/lost/
lot, a lot	/lɒt/
loud	/laud/
loudly	/'laudili/
love	/lʌv/
lovely	/ˈlʌvli/
lover	/´lʌvə/
low	/lou/
loyal	/'lɔiəl/
luck	/lʌk/
lucky	/'lʌki/
luggage	/'lʌgiʤ/
lump	/lΛmp/
lunch	/lʌntʃ/
lung	/lʌη/
machine	/mə'ʃi:n/
machinery	/mə'ʃi:nəri/
mad	/mæd/
magazine	/,mægə'zi:n/
magic	/'mæʤik/
mail	/meil/
main	/mein/
mainly	/´meinli/
maintain	/mein´tein/
major	/ˈmeɪdʒər/
majority	/mə'dʒɔriti/
make	/meik/
make friends with	//
make-up	/´meik¸ʌp/
male	/meil/
mall	/mɔ:l/
man	/mæn/
manage	/'mæniʤ/
management	/'mænidʒmənt/
manager	/ˈmænɪdʒər/
manner	/'mænз/
manufacture	/,mænju'fæktʃə/
manufacturer	/¸mæni´fæktʃərə/
manufacturing	/¸mænju´fæktʃəriη/
many	/'meni/
map	/mæp/
March (abbr Mar)	/mɑ:tʃ/
mark	/mɑ:k/
market	/'mɑ:kit/
marketing	/'mα:kitiη/
marriage	/ˈmærɪdʒ/
married	/´mærid/
marry	/'mæri/
mass	/mæs/
massive	/'mæsiv/
master	/'mɑ:stə/
match	/mætʃ/
matching	/´mætʃiη/
mate	/meit/
material	/mə´tiəriəl/
mathematics, also maths	/,mæθi'mætiks/
matter	/'mætə/
maximum	/´mæksiməm/
may	/mei/
May	/mei/
maybe	/´mei¸bi:/
mayor	/mɛə/
me	/mi:/
meal	/mi:l/
mean	/mi:n/
meaning	/'mi:niɳ/
means	/mi:nz/
meanwhile	/miː(n)waɪl/
measure	/'meʤə/
measurement	/'məʤəmənt/
meat	/mi:t/
media	/´mi:diə/
medical	/'medikə/
medicine	/'medisn/
medium	/'mi:djəm/
meet	/mi:t/
meeting	/'mi:tiɳ/
melt	/mɛlt/
member	/'membə/
membership	/'membəʃip/
memory	/'meməri/
mental	/'mentl/
mentally	/´mentəli/
mention	/'menʃn/
menu	/'menju/
mere	/miə/
merely	/'miәli/
mess	/mes/
message	/ˈmɛsɪdʒ/
metal	/'metl/
method	/'meθəd/
metre	/´mi:tə/
mid-	//
midday	/´mid´dei/
middle	/'midl/
midnight	/'midnait/
might	/mait/
mild	/maɪld/
mile	/mail/
military	/'militəri/
milk	/milk/
milligram, milligramme (abbr mg)	/´mili¸græm/
millimetre, millimeter (abbr mm)	/´mili¸mi:tə/
mind	/maid/
mine	//
mineral	/ˈmɪnərəl , ˈmɪnrəl/
minimum	/'miniməm/
minister	/´ministə/
ministry	/´ministri/
minor	/´mainə/
minority	/mai´nɔriti/
minute	/'minit/
mirror	/ˈmɪrər/
miss	/mis/
missing	/´misiη/
mistake	/mis'teik/
mistaken	/mis´teiken/
mix	/miks/
mixed	/mikst/
mixture	/ˈmɪkstʃər/
mobile	/'məʊbail; 'məʊbi:l/
mobile phone (mobile)	//
model	/ˈmɒdl/
modern	/'mɔdən/
moment	/'məum(ə)nt/
Monday (abbr Mon)	/'mʌndi/
money	/'mʌni/
monitor	/'mɔnitə/
month	/mʌnθ/
mood	/mu:d/
moon	/mu:n/
moral	/ˈmɔrəl , ˈmɒrəl/
morally	//
more	/mɔ:/
moreover	/mɔ:´rouvə/
morning	/'mɔ:niɳ/
most	/moust/
mostly	/´moustli/
mother	/'mΔðз/
motion	/´mouʃən/
motor	/´moutə/
motorcycle	/'moutə,saikl/
mount	/maunt/
mountain	/ˈmaʊntən/
mouse	/maus - mauz/
mouth	/mauθ - mauð/
move	/mu:v/
movement	/'mu:vmənt/
movie	/´mu:vi/
movie theater	//
moving	/'mu:viɳ/
Mr	//
Mrs	//
Ms	//
much	/mʌtʃ/
mud	/mʌd/
multiply	/'mʌltiplai/
mum	/mʌm/
murder	/'mə:də/
muscle	/'mʌsl/
museum	/mju:´ziəm/
music	/'mju:zik/
musical	/ˈmyuzɪkəl/
musician	/mju:'ziʃn/
must	/mʌst/
my	/mai/
myself	/mai'self/
mysterious	/mis'tiəriəs/
mystery	/'mistəri/
nail	/neil/
naked	/'neikid/
name	/neim/
narrow	/'nærou/
nation	/'nei∫n/
national	/'næʃən(ə)l/
natural	/'nætʃrəl/
naturally	/'næt∫rəli/
nature	/'neitʃə/
navy	/'neivi/
near	/niə/
nearby	/´niə¸bai/
nearly	/´niəli/
neat	/ni:t/
neatly	/ni:tli/
necessarily	/´nesisərili/
necessary	/'nesəseri/
neck	/nek/
need	/ni:d/
needle	/´ni:dl/
negative	/´negətiv/
neighbour	/'neibə/
neighbourhood	/´neibəhud/
neither	/'naiðə/
nephew	/´nevju:/
nerve	/nɜrv/
nervous	/ˈnɜrvəs/
nervously	/'nз:vзstli/
nest	/nest/
net	/net/
network	/'netwə:k/
never	/'nevə/
nevertheless	/,nevəðə'les/
new	/nju:/
newly	/´nju:li/
news	/nju:z/
newspaper	/'nju:zpeipə/
next	/nekst/
nice	/nais/
nicely	/´naisli/
niece	/ni:s/
night	/nait/
no	/nou/
nobody (noone)	/'noubədi/
noise	/nɔiz/
noisily	/´nɔizili/
noisy	/´nɔizi/
non-	//
none	/nʌn/
nonsense	/´nɔnsəns/
nor	/no:/
normal	/'nɔ:məl/
normally	/'no:mзli/
north	/nɔ:θ/
northern	/'nɔ:ðən/
nose	/nouz/
not	/nɔt/
note	/nout/
nothing	/ˈnʌθɪŋ/
notice	/'nәƱtis/
noticeable	/ˈnoʊtɪsəbəl/
novel	/ˈnɒvəl/
November (abbr Nov)	/nou´vembə/
now	/nau/
nowhere	/´nou¸wɛə/
nuclear	/'nju:kliз/
number (abbr No)	/´nʌmbə/
nurse	/nə:s/
nut	/nʌt/
o clock	/klɔk/
obey	/o'bei/
object	/(n) ˈɒbdʒɛkt ; (v) əbˈdʒɛkt/
objective	/əb´dʒektiv/
observation	/obzә:'vei∫(ә)n/
observe	/əbˈzə:v/
obtain	/əb'tein/
obvious	/'ɒbviəs/
obviously	/'ɔbviəsli/
occasion	/əˈkeɪʒən/
occasionally	/з'keiЗnзli/
occupied	/ɔkjupaid/
occupy	/'ɔkjupai/
occur	/ə'kə:/
ocean	/'əuʃ(ə)n/
October (abbr Oct)	/ɔk´toubə/
odd	/ɔd/
oddly	/´ɔdli/
of	/ɔv/
off	/ɔ:f/
offence	/ə'fens/
offend	/ə´fend/
offensive	/ə´fensiv/
offer	/´ɔfə/
office	/'ɔfis/
officer	/´ɔfisə/
official	/ə'fiʃəl/
officially	/ə'fi∫əli/
often	/'ɔ:fn/
oh	/ou/
oil	/ɔɪl/
OK (okay)	/əʊkei/
old	/ould/
old-fashioned	//
on	/on, prep/
once	/wʌns/
one number	/wʌn/
onion	/ˈʌnjən/
only	/'ounli/
onto	/´ɔntu/
open	/'oupən/
opening	/´oupniη/
openly	/´oupənli/
operate	/'ɔpəreit/
operation	/,ɔpə'reiʃn/
opinion	/ə'pinjən/
opponent	/əpəʊ.nənt/
opportunity	/ˌɒpərˈtunɪti , ˌɒpərˈtyunɪti/
oppose	/əˈpoʊz/
opposed to	/ə´pouzd/
opposing	/з'pouziη/
opposite	/'ɔpəzit/
opposition	/¸ɔpə´ziʃən/
option	/'ɔpʃn/
orange	/ɒrɪndʒ/
order	/'ɔ:də/
ordinary	/'o:dinәri/
organ	/'ɔ:gən/
organization	/,ɔ:gənai'zeiʃn/
organize	/´ɔ:gə¸naiz/
organized	/o:gзnaizd/
origin	/'ɔridӡin/
original	/ə'ridʒənl/
originally	/ə'ridʒnəli/
other	/ˈʌðər/
otherwise	/´ʌðə¸waiz/
ought to	/ɔ:t/
our	/auə/
ours	/auəz, pro/
ourselves	/´awə´selvz/
out	/aut/
outdoor	/'autdɔ:/
outdoors	/¸aut´dɔ:z/
outer	//
outline	/´aut¸lain/
output	/'autput/
outside	/'aut'said/
outstanding	/¸aut´stændiη/
oven	/ʌvn/
over	/'ouvə/
overall	/(adv) ˈoʊvərˈɔl/
overcome	/ˌoʊvərˈkʌm/
owe	/ou/
own	/oun/
owner	/´ounə/
p.m. (PM)	/pip'emз/
pace	/peis/
pack	/pæk/
package	/pæk.ɪdʒ/
packaging	/"pækidzŋ/
packet	/'pækit/
page	/peidʒ/
pain	/pein/
painful	/'peinful/
paint	/peint/
painter	/peintə/
painting	/'peintiɳ/
pair	/pɛə/
palace	/ˈpælɪs/
pale	/peil/
pan	/pæn - pɑ:n/
panel	/'pænl/
pants	/pænts/
paper	/´peipə/
parallel	/'pærəlel/
parent	/'peərənt/
park	/pa:k/
parliament	/'pɑ:ləmənt/
part	/pa:t/
particular	/pə´tikjulə/
particularly	/pə´tikjuləli/
partly	/´pa:tli/
partner	/'pɑ:tnə/
partnership	/´pa:tnəʃip/
party	/ˈpɑrti/
pass	/´pa:s/
passage	/ˈpæsɪdʒ/
passenger	/'pæsindʤə/
passing	/´pa:siη/
passport	/´pa:spɔ:t/
past	/pɑ:st/
path	/pɑ:θ/
patience	/´peiʃəns/
patient	/'peiʃənt/
pattern	/'pætə(r)n/
pause	/pɔ:z/
pay	/pei/
pay attention to	//
payment	/'peim(ə)nt/
peace	/pi:s/
peaceful	/'pi:sfl/
peak	/pi:k/
pen	/pen/
pence	/pens/
pencil	/´pensil/
penny	/´peni/
pension	/'penʃn/
people	/ˈpipəl/
pepper	/´pepə/
per	/pə:/
per cent (percent)	//
perfect	/pə'fekt/
perfectly	/´pə:fiktli/
perform	/pə´fɔ:m/
performance	/pə'fɔ:məns/
performer	/pə´fɔ:mə/
perhaps	/pə'hæps/
period	/'piəriəd/
permanent	/'pə:mənənt/
permanently	/'pə:mənəntli/
permission	/pə'miʃn/
permit	/'pə:mit/
person	/ˈpɜrsən/
personal	/'pə:snl/
personality	/pə:sə'næləti/
personally	/´pə:sənəli/
persuade	/pə'sweid/
pet	/pet/
petrol	/ˈpɛtrəl/
phase	/feiz/
philosophy	/fɪˈlɒsəfi/
photocopy	/´foutə¸kɔpi/
photograph (photo)	/´foutə¸gra:f/
photographer	/fə´tɔgrəfə/
photography	/fə´tɔgrəfi/
phrase	/freiz/
physical	/´fizikl/
physically	/´fizikli/
physics	/'fiziks/
piano	/'pjænou/
pick	/pik/
picture	/'piktʃə/
piece	/pi:s/
pig	/pig/
pile	/paɪl/
pill	/´pil/
pilot	/´paiələt/
pin	/pin/
pink	/piηk/
pint	/paint/
pipe	/paip/
pitch	/pit∫/
pity	/´piti/
place	/pleis/
plain	/plein/
plan	/plæn/
plane	/plein/
planet	/´plænit/
planning	/plænniη/
plant	/plænt , plɑnt/
plastic	/'plæstik/
plate	/pleit/
platform	/'plætfɔ:m/
play	/plei/
player	/'pleiз/
pleasant	/'pleznt/
pleasantly	/'plezəntli/
please	/pli:z/
pleased	/pli:zd/
pleasing	/´pli:siη/
pleasure	/ˈplɛʒuə(r)/
plenty	/'plenti/
plot	/plɔt/
plug	/plʌg/
plus	/plʌs/
pocket	/'pɔkit/
poem	/'pouim/
poetry	/'pouitri/
point	//
pointed	/´pɔintid/
poison	/ˈpɔɪzən/
poisonous	/pɔɪ.zə(n)əs/
pole	/poul/
police	/pə'li:s/
policy	/'pol.ə si/
polish	/'pouliʃ/
polite	/pəˈlaɪt/
politely	/pəˈlaɪtli/
political	/pə'litikl/
politically	/pə'litikəli/
politician	/¸pɔli´tiʃən/
politics	/'pɔlitiks/
pollution	/pəˈluʃən/
pool	/pu:l/
poor	/puə/
pop	/pɒp; NAmE pɑːp/
